DateTime,Score
2021-11-18-10-39,76.0232
2021-11-18-10-41,77.85000000000001
2021-11-18-10-42,77.62000000000005
2021-11-18-10-54,76.13890000000004
2021-11-18-10-56,77.46540000000005
2021-11-18-11-10,102.50309999999986
2021-11-18-11-11,103.48969999999986
2021-11-18-11-13,104.1379999999998
2021-11-18-11-25,108.85109999999989
2021-11-18-11-27,109.17439999999989
2021-11-18-11-41,122.62179999999982
2021-11-18-11-42,125.47579999999981
2021-11-18-11-56,123.36749999999977
2021-11-18-11-58,122.61619999999972
2021-11-18-12-12,120.51859999999986
2021-11-18-12-13,120.11579999999991
2021-11-18-12-15,120.90259999999992
2021-11-18-12-27,108.32259999999978
2021-11-18-12-29,108.16239999999978
2021-11-18-12-30,119.40699999999987
2021-11-18-12-43,109.22040000000003
2021-11-18-12-44,106.79620000000006
2021-11-18-12-46,110.33360000000002
2021-11-18-12-58,93.23760000000003
2021-11-18-13-00,97.47089999999997
2021-11-18-13-01,106.50299999999999
2021-11-18-13-14,106.7354999999999
2021-11-18-13-15,106.70979999999987
2021-11-18-13-17,109.98979999999985
2021-11-18-13-29,93.52720000000011
2021-11-18-13-31,100.59770000000012
2021-11-18-13-32,99.44700000000002
2021-11-18-13-45,109.40319999999997
2021-11-18-13-47,115.78710000000001
2021-11-18-13-48,110.53479999999998
2021-11-18-14-01,93.2032
2021-11-18-14-02,103.64980000000007
2021-11-18-14-04,107.41300000000014
2021-11-18-14-16,98.79189999999997
2021-11-18-14-18,96.7855999999999
2021-11-18-14-19,91.72889999999994
2021-11-18-14-32,90.5341
2021-11-18-14-33,92.96439999999997
2021-11-18-14-34,92.11169999999991
2021-11-18-14-47,68.47599999999996
2021-11-18-14-49,67.90569999999998
2021-11-18-14-51,68.52949999999991
2021-11-18-15-03,89.65960000000003
2021-11-18-15-05,90.8147
2021-11-18-15-08,86.00089999999993
2021-11-18-15-19,91.88129999999988
2021-11-18-15-21,97.84359999999998
2021-11-18-15-23,88.69920000000003
2021-11-18-15-34,97.9305
2021-11-18-15-36,102.29690000000004
2021-11-18-15-38,110.63919999999995
2021-11-18-15-50,99.3659
2021-11-18-15-52,94.77489999999986
2021-11-18-15-54,84.32549999999999
2021-11-18-16-05,107.28089999999999
2021-11-18-16-07,106.70169999999995
2021-11-18-16-09,105.12109999999981
2021-11-18-16-20,83.65670000000013
2021-11-18-16-22,79.11750000000004
2021-11-18-16-24,78.5591
2021-11-18-16-36,100.99629999999996
2021-11-18-16-38,96.53229999999989
2021-11-18-16-39,98.05149999999983
2021-11-18-16-52,75.09910000000004
2021-11-18-16-53,79.36519999999999
2021-11-18-16-55,88.5418
2021-11-18-17-07,92.90979999999986
2021-11-18-17-09,89.92189999999997
2021-11-18-17-10,85.54560000000002
2021-11-18-17-23,84.73459999999996
2021-11-18-17-24,89.17329999999997
2021-11-18-17-26,88.37639999999993
2021-11-18-17-38,105.97819999999987
2021-11-18-17-40,101.50179999999989
2021-11-18-17-41,100.92419999999998
2021-11-18-17-54,89.58319999999995
2021-11-18-17-55,84.51749999999993
2021-11-18-17-57,84.90889999999989
2021-11-18-18-09,81.94040000000004
2021-11-18-18-11,84.83219999999993
2021-11-18-18-12,84.208
2021-11-18-18-25,82.86749999999998
2021-11-18-18-27,87.91080000000012
2021-11-18-18-28,93.52180000000001
2021-11-18-18-41,102.04390000000005
2021-11-18-18-42,106.57440000000011
2021-11-18-18-44,108.00060000000005
2021-11-18-18-56,90.53259999999995
2021-11-18-18-58,91.28219999999999
2021-11-18-18-59,95.27390000000003
