DateTime,Score
2021-11-18-10-42,143.8537999999997
2021-11-18-10-54,137.4889999999998
2021-11-18-10-56,141.81849999999977
2021-11-18-10-57,145.09979999999985
2021-11-18-11-10,157.87989999999994
2021-11-18-11-11,160.45289999999991
2021-11-18-11-13,156.3186999999999
2021-11-18-11-25,144.0918000000001
2021-11-18-11-27,145.0230000000001
2021-11-18-11-28,143.01110000000008
2021-11-18-11-41,145.45779999999976
2021-11-18-11-42,147.87619999999978
2021-11-18-11-44,141.2181999999998
2021-11-18-11-56,127.79729999999986
2021-11-18-11-58,127.99999999999987
2021-11-18-11-59,122.75959999999986
2021-11-18-12-12,122.72229999999993
2021-11-18-12-13,128.47589999999985
2021-11-18-12-15,126.91539999999983
2021-11-18-12-27,131.97709999999992
2021-11-18-12-29,130.48249999999987
2021-11-18-12-30,127.02299999999995
2021-11-18-12-43,129.72110000000004
2021-11-18-12-44,131.81750000000005
2021-11-18-12-46,134.46129999999997
2021-11-18-12-58,123.47239999999996
2021-11-18-13-00,122.94589999999997
2021-11-18-13-01,131.2066
2021-11-18-13-14,151.92259999999968
2021-11-18-13-15,153.54219999999972
2021-11-18-13-17,149.26249999999982
2021-11-18-13-29,134.5446
2021-11-18-13-31,136.31019999999995
2021-11-18-13-32,138.95879999999994
2021-11-18-13-45,144.63949999999977
2021-11-18-13-46,144.4850999999998
2021-11-18-13-48,132.46989999999994
2021-11-18-14-00,114.17680000000001
2021-11-18-14-02,117.15520000000002
2021-11-18-14-03,121.83000000000001
2021-11-18-14-16,124.22869999999985
2021-11-18-14-17,123.39089999999987
2021-11-18-14-19,120.50919999999992
2021-11-18-14-31,97.71769999999995
2021-11-18-14-33,102.67349999999996
2021-11-18-14-34,105.9984999999999
2021-11-18-14-47,120.26670000000011
2021-11-18-14-49,114.46930000000013
2021-11-18-14-51,105.3295000000001
2021-11-18-15-03,107.47380000000003
2021-11-18-15-05,109.74230000000009
2021-11-18-15-07,108.88250000000006
2021-11-18-15-19,89.74630000000002
2021-11-18-15-21,90.12579999999991
2021-11-18-15-23,97.80409999999998
2021-11-18-15-34,133.57529999999997
2021-11-18-15-36,129.3263999999999
2021-11-18-15-38,115.76769999999995
2021-11-18-15-49,93.76900000000005
2021-11-18-15-52,89.11929999999995
2021-11-18-15-54,90.32979999999986
2021-11-18-16-05,99.6173
2021-11-18-16-07,110.22230000000008
2021-11-18-16-09,100.10110000000005
2021-11-18-16-20,79.46929999999993
2021-11-18-16-22,76.85179999999994
2021-11-18-16-24,84.97869999999998
2021-11-18-16-36,102.87079999999995
2021-11-18-16-38,99.37179999999994
2021-11-18-16-39,100.54639999999993
2021-11-18-16-52,86.98519999999995
2021-11-18-16-53,91.32270000000003
2021-11-18-16-55,90.08489999999995
2021-11-18-17-07,83.62779999999998
2021-11-18-17-09,83.07969999999995
2021-11-18-17-10,85.58049999999994
2021-11-18-17-23,79.95169999999995
2021-11-18-17-24,78.32769999999995
2021-11-18-17-26,78.7652
2021-11-18-17-38,89.92759999999998
2021-11-18-17-40,82.27909999999996
2021-11-18-17-41,83.22659999999996
2021-11-18-17-54,92.38019999999999
2021-11-18-17-55,96.05569999999993
2021-11-18-17-57,100.34999999999998
2021-11-18-18-09,116.29079999999995
2021-11-18-18-11,115.15129999999998
2021-11-18-18-12,104.05470000000003
2021-11-18-18-25,112.4134
2021-11-18-18-26,114.43079999999999
2021-11-18-18-28,104.14829999999998
2021-11-18-18-41,91.84679999999994
2021-11-18-18-42,91.83670000000004
2021-11-18-18-44,88.13450000000002
2021-11-18-18-56,89.56519999999996
2021-11-18-18-58,96.37969999999994
2021-11-18-18-59,94.4074
2021-11-18-19-12,80.98439999999984
2021-11-18-19-13,81.2419
2021-11-18-19-15,76.04459999999999
2021-11-18-19-27,84.27579999999998
2021-11-18-19-29,93.80719999999997
2021-11-18-19-30,90.39479999999993
2021-11-18-19-43,112.02590000000006
2021-11-18-19-44,109.70140000000004
2021-11-18-19-46,114.32390000000004
2021-11-18-19-58,98.31420000000007
2021-11-18-20-00,100.44150000000005
2021-11-18-20-01,109.88529999999997
2021-11-18-20-14,95.06019999999995
2021-11-18-20-15,88.30159999999992
2021-11-18-20-17,100.08010000000002
2021-11-18-20-29,118.67650000000003
2021-11-18-20-31,113.75520000000013
2021-11-18-20-32,115.45900000000003
2021-11-18-20-45,80.6942
2021-11-18-20-46,76.32499999999995
2021-11-18-20-48,82.44789999999998
2021-11-18-21-00,94.79730000000002
2021-11-18-21-02,93.93959999999997
2021-11-18-21-04,100.41389999999997
2021-11-18-21-16,109.7217
2021-11-18-21-18,110.12530000000002
2021-11-18-21-19,105.52849999999995
2021-11-18-21-32,78.3661
2021-11-18-21-33,79.62159999999999
2021-11-18-21-35,87.9938
2021-11-18-21-47,89.66219999999997
2021-11-18-21-49,91.8552
2021-11-18-21-50,98.11109999999998
2021-11-18-22-03,112.82160000000007
2021-11-18-22-04,114.47059999999996
2021-11-18-22-06,113.95229999999992
2021-11-18-22-18,83.34239999999993
2021-11-18-22-20,83.46439999999991
2021-11-18-22-21,90.05599999999986
2021-11-18-22-34,112.54379999999998
2021-11-18-22-35,104.12290000000003
2021-11-18-22-37,98.54789999999996
2021-11-18-22-49,80.18469999999999
2021-11-18-22-51,80.58259999999991
2021-11-18-22-52,83.20639999999992
